provider_id,department_id,specialty,npi
PRV-000001,DEPT-ICU,Internal Medicine,1000000001
PRV-000002,DEPT-ICU,Cardiology,1000000002
PRV-000003,DEPT-ICU,Obstetrics & Gynecology,1000000003
PRV-000004,DEPT-ICU,General Surgery,1000000004
PRV-000005,DEPT-ICU,General Surgery,1000000005
PRV-000006,DEPT-ICU,Cardiology,1000000006
PRV-000007,DEPT-STEPDOWN,Internal Medicine,1000000007
PRV-000008,DEPT-STEPDOWN,Obstetrics & Gynecology,1000000008
PRV-000009,DEPT-STEPDOWN,Emergency Medicine,1000000009
PRV-000010,DEPT-STEPDOWN,Internal Medicine,1000000010
PRV-000011,DEPT-STEPDOWN,Pediatrics,1000000011
PRV-000012,DEPT-STEPDOWN,Hospital Medicine,1000000012
PRV-000013,DEPT-GENERAL_MED_SURG,Obstetrics & Gynecology,1000000013
PRV-000014,DEPT-GENERAL_MED_SURG,Cardiology,1000000014
PRV-000015,DEPT-GENERAL_MED_SURG,Obstetrics & Gynecology,1000000015
PRV-000016,DEPT-GENERAL_MED_SURG,Cardiology,1000000016
PRV-000017,DEPT-GENERAL_MED_SURG,Pediatrics,1000000017
PRV-000018,DEPT-GENERAL_MED_SURG,Emergency Medicine,1000000018
PRV-000019,DEPT-ED_OBSERVATION,Cardiology,1000000019
PRV-000020,DEPT-ED_OBSERVATION,General Surgery,1000000020
PRV-000021,DEPT-ED_OBSERVATION,Pediatrics,1000000021
PRV-000022,DEPT-ED_OBSERVATION,Critical Care,1000000022
PRV-000023,DEPT-ED_OBSERVATION,Emergency Medicine,1000000023
PRV-000024,DEPT-ED_OBSERVATION,Hospital Medicine,1000000024
PRV-000025,DEPT-PEDIATRICS,Cardiology,1000000025
PRV-000026,DEPT-PEDIATRICS,Obstetrics & Gynecology,1000000026
PRV-000027,DEPT-PEDIATRICS,General Surgery,1000000027
PRV-000028,DEPT-PEDIATRICS,Cardiology,1000000028
PRV-000029,DEPT-PEDIATRICS,Pediatrics,1000000029
PRV-000030,DEPT-PEDIATRICS,General Surgery,1000000030
PRV-000031,DEPT-OBSTETRICS,General Surgery,1000000031
PRV-000032,DEPT-OBSTETRICS,Emergency Medicine,1000000032
PRV-000033,DEPT-OBSTETRICS,Internal Medicine,1000000033
PRV-000034,DEPT-OBSTETRICS,Pediatrics,1000000034
PRV-000035,DEPT-OBSTETRICS,Hospital Medicine,1000000035
PRV-000036,DEPT-OBSTETRICS,Internal Medicine,1000000036
